num_iters,mean,std,c95l,c95h,al,ah
1,0.13422021841354945, 0.019289773373823687, 0.13418241045773674,0.13425802636936215, -0.16680315704459625,0.29289321973919624
2,0.028515355670867392, 0.028153279766276677, 0.02846017524252549,0.028570536099209294, -0.24157620316108808,0.39087869605974646
3,0.014340432228087438, 0.004434059359308022, 0.014331741471743195,0.014349122984431681, -0.13655433096237646,0.17022920054383328
4,-0.001964929201945845, 0.001155810763348138, -0.0019671945910420072,-0.0019626638128496824, -0.0970691123800611,0.07310569987496784
5,-0.00041547101418042137, 0.00031329223549610207, -0.00041608506696199374,-0.000414856961398849, -0.04776335161908296,0.049307018506687506
6,-2.6415959709244536e-05, 8.601490121377244e-05, -2.658454891562353e-05,-2.624737050286554e-05, -0.02497557093646907,0.02554912146660948
7,1.9312133462255903e-05, 2.1783204275042175e-05, 1.926943838187682e-05,1.9354828542634984e-05, -0.012846312273975147,0.012983231734680079
8,1.2745560104110078e-05, 5.504638613870795e-06, 1.2734771012426891e-05,1.2756349195793264e-05, -0.006508852991471081,0.006541284874741149
9,4.3843387286573285e-06, 1.3886615447138165e-06, 4.3816169520296895e-06,4.387060505284967e-06, -0.0032756404036591302,0.003283423461442392
10,-6.22595941195628e-07, 3.4614658518963925e-07, -6.232743885025998e-07,-6.219174938886563e-07, -0.0016387341288458535,0.0016411301498834296
11,-1.5955117681872865e-07, 8.648145941860294e-08, -1.5972068047918913e-07,-1.5938167315826818e-07, -0.0008197446521241991,0.0008213415274450631
12,-9.310655412044632e-08, 2.1626743356925847e-08, -9.31489425374259e-08,-9.306416570346675e-08, -0.0004101629864959877,0.00041021617910175223
13,5.3300721542459125e-08, 5.417437031591283e-09, 5.3290103365877204e-08,5.331133971904105e-08, -0.0002052241770079677,0.00020498337628915841
14,1.300748175957711e-09, 1.3541223702835837e-09, 1.2980940961119553e-09,1.3034022558034669e-09, -0.00010257606420149834,0.00010255099811262713
15,1.3887582243798602e-08, 3.381560627476674e-10, 1.3886919457915616e-08,1.3888245029681588e-08, -5.122469139406949e-05,5.130250681606441e-05
16,-1.2169825354849673e-08, 8.447955750814955e-11, -1.2169990934782388e-08,-1.2169659774916957e-08, -2.5645622760528397e-05,2.567023467603402e-05
17,-2.4498191377437805e-09, 2.1127330740415508e-11, -2.4498605473120318e-09,-2.4497777281755293e-09, -1.2825996548615493e-05,1.281152472865088e-05
18,1.3477107364538998e-09, 5.286669117900218e-12, 1.3477003745824286e-09,1.347721098325371e-09, -6.408288894310665e-06,6.41821886970817e-06
19,4.275585421197991e-09, 1.3229231970651757e-12, 4.275582828268525e-09,4.275588014127457e-09, -3.205692471697219e-06,3.210980542234232e-06
20,4.5641160328084854e-09, 3.313940671253156e-13, 4.564115383276114e-09,4.564116682340857e-09, -1.6002909369872143e-06,1.6100497362003807e-06
21,4.5805997193284485e-09, 8.278109446673357e-14, 4.580599557077503e-09,4.580599881579394e-09, -7.976757532279777e-07,8.088175234011175e-07
22,4.4966271371414955e-09, 2.067978410782347e-14, 4.4966270966091186e-09,4.4966271776738724e-09, -3.994582293831428e-07,4.089366524295812e-07
23,4.8381201836037445e-09, 5.1657130935275764e-15, 4.838120173478947e-09,4.838120193728542e-09, -1.9888707969428765e-07,2.1276873285458464e-07
24,5.057460924109747e-09, 1.297258317372435e-15, 5.0574609215671205e-09,5.057460926652374e-09, -9.926487509748227e-08,1.132242699597441e-07
25,5.3282930858048476e-09, 3.262707383269934e-16, 5.328293085165357e-09,5.3282930864443384e-09, -5.089515475731332e-08,6.431559829156441e-08
26,5.630681986192432e-09, 8.49403511899064e-17, 5.630681986025949e-09,5.630681986358915e-09, -2.7211071618182814e-08,4.118302543432151e-08
27,5.909683736373017e-09, 2.4681875331335893e-17, 5.9096837363246404e-09,5.909683736421394e-09, -1.7050140632690614e-08,2.9968080794695595e-08
