num_iters,mean,std,c95l,c95h,al,ah
1,0.1325698780934312, 0.019894429072762947, 0.1313368086045066,0.1338029475823558, -0.16652884995145356,0.29289300210946356
2,0.028714708903819722, 0.029246120302719367, 0.02690201558737395,0.030527402220265495, -0.2396171870298801,0.3878415851795193
3,0.011224968956770656, 0.004208247902886676, 0.010964139049468377,0.011485798864072935, -0.13579404472810253,0.16981294746187936
4,-0.0027386940289595993, 0.0011583936865452937, -0.0028104920135017877,-0.002666896044417411, -0.09677618141044797,0.070495806596089
5,-0.00019316057389963926, 0.00033975097114600627, -0.0002142185572587196,-0.00017210259054055893, -0.04726291366091473,0.049068981583719196
6,1.0143377471710569e-05, 8.921569878315426e-05, 4.613731172224281e-06,1.5673023771196854e-05, -0.02381826283883126,0.025421720488537414
7,0.0001964039504002365, 2.1090722637641674e-05, 0.0001950967338679736,0.00019771116693249942, -0.011522569791258097,0.01230475974911438
8,2.629133941013606e-06, 5.624683589095117e-06, 2.2805124403311067e-06,2.9777554416961054e-06, -0.006187128134579556,0.006442502057476429
9,1.1509072747154737e-05, 1.4512514647848464e-06, 1.1419123249461772e-05,1.1599022244847701e-05, -0.003144972519491862,0.003193849714521191
10,5.29428925737796e-06, 3.313407029059932e-07, 5.2737525478449596e-06,5.314825966910961e-06, -0.0016059649548783028,0.0016019164452540924
11,8.266878868886662e-06, 8.93344022624568e-08, 8.261341865269305e-06,8.272415872504019e-06, -0.0007698739593156034,0.0007781140407351339
12,-3.618909929509417e-06, 2.0486994486205393e-08, -3.6201797265831763e-06,-3.617640132435658e-06, -0.00039314625508846124,0.0003597063014372237
13,9.91940377839895e-07, 5.402184940647379e-09, 9.916055469483184e-07,9.922752087314717e-07, -0.00020317124109414664,0.00020181288910614548
14,3.4278734336956604e-07, 1.3915212381039367e-09, 3.4270109598967787e-07,3.428735907494542e-07, -0.00010042560423828562,9.700273934576398e-05
15,-3.7936771291369185e-07, 3.7019844402690796e-10, -3.793906580509716e-07,-3.793447677764121e-07, -4.9875710667834916e-05,4.9438807969814924e-05
17,-1.1048430540838706e-07, 2.310288213432766e-11, -1.1048573733985701e-07,-1.104828734769171e-07, -1.2217970492445218e-05,1.2470079203463769e-05
16,-2.2541965092359728e-07, 8.733044738020588e-11, -2.2542506372080422e-07,-2.2541423812639034e-07, -2.4721591213694438e-05,2.5085800801627478e-05
18,5.05354221019827e-08, 5.149800594911911e-12, 5.0535102914034936e-08,5.053574128993046e-08, -6.239836714105884e-06,5.908379006602793e-06
21,-8.653141601144831e-09, 7.924860944023766e-14, -8.653146513024533e-09,-8.65313668926513e-09, -7.956726845170792e-07,7.295942580087811e-07
