num_iters,mean,std,c95l,c95h.al,ah
1,0.13425977442349896, 0.01929486839300027, 0.1341401835901998,0.1343793652567981, -0.16680227344468157,0.29289321971657634
num_iters,mean,std,c95l,c95h,al,ah
1,0.13470758733783006, 0.019216517087818717, 0.13458848213095168,0.13482669254470844, -0.16679975458280027,0.29289321970830173
