num_iters,frac_bits,mean,std,c95l,c95h,al,ah,mse
18,21,2.2163193381509183e-06, 5.934659418303401e-12, 2.168571471579359e-06,2.2640672047224777e-06, -6.6773052714852454e-06,1.0881057106559844e-05,1.0846730826965127e-11
19,21,2.4033826692092975e-06, 1.995963559792055e-12, 2.3756920686175857e-06,2.4310732698010092e-06, -3.0211802344304317e-06,8.474701700067477e-06,7.772211814447662e-12
20,21,2.5386622666274118e-06, 1.0894031014629157e-12, 2.5182048695432764e-06,2.559119663711547e-06, -2.545922393459854e-06,7.121025198730813e-06,7.534209205460743e-12
21,21,2.671126313937211e-06, 9.589318886908853e-13, 2.6519330006651494e-06,2.6903196272092722e-06, -1.6799603816952668e-06,7.02343018410545e-06,8.093847673698677e-12
22,21,2.8135158240908287e-06, 9.758174359351111e-13, 2.7941542635600028e-06,2.8328773846216546e-06, -2.25652484553418e-06,7.306691988895331e-06,8.891688728344607e-12
23,21,2.964157460491812e-06, 1.0402616655662788e-12, 2.944166789631535e-06,2.9841481313520893e-06, -1.9659383401204877e-06,7.909386576132604e-06,9.826491116155547e-12
24,21,3.1207096541422284e-06, 1.12010848596863e-12, 3.0999659592936797e-06,3.141453348990777e-06, -1.3738805305640867e-06,7.938305279453495e-06,1.0858937231425138e-11
18,22,1.0465181095304366e-06, 5.517677358416899e-12, 1.0004782253645372e-06,1.092557993696336e-06, -6.48010508041974e-06,7.95084283922165e-06,6.612877511992057e-12
19,22,1.1143525766618034e-06, 1.5183899994455307e-12, 1.0902008748131344e-06,1.1385042785104723e-06, -3.1608639177171938e-06,5.271641308812747e-06,2.760171664558331e-12
20,22,1.2198410518511337e-06, 5.403360361495679e-13, 1.205433571445205e-06,1.2342485322570625e-06, -2.1075308660467584e-06,3.956902158375186e-06,2.028348227930849e-12
21,22,1.2915181977985025e-06, 3.1343318350716054e-13, 1.2805451174754522e-06,1.3024912781215528e-06, -1.646718327474872e-06,3.697138989844362e-06,1.981452438751852e-12
22,22,1.360552079290578e-06, 2.7461453062680293e-13, 1.3502809587048972e-06,1.3708231998762586e-06, -1.5216521090932744e-06,3.7696588442992507e-06,2.1257164910887178e-12
23,22,1.427800443595939e-06, 2.742132422282343e-13, 1.4175368302393088e-06,1.4380640569525693e-06, -1.0217096245712654e-06,3.998087264478478e-06,2.312827348960995e-12
24,22,1.495950896188325e-06, 2.9335086850686045e-13, 1.4853351687217029e-06,1.5065666236549471e-06, -1.1339010062005883e-06,3.949128070446228e-06,2.5312199523135133e-12
18,23,5.416811766248086e-07, 5.4409980504618e-12, 4.959623204376137e-07,5.874000328120035e-07, -6.083945644275168e-06,7.206568456985529e-06,5.734416547571438e-12
19,23,6.250059143615317e-07, 1.3234786733304068e-12, 6.024575759050819e-07,6.475542528179814e-07, -3.005209478379456e-06,4.2685996549662875e-06,1.7141110663173007e-12
20,23,6.550096537829231e-07, 3.8970759383084533e-13, 6.427740471675542e-07,6.672452603982919e-07, -1.6984189117330573e-06,2.8663804767514733e-06,8.187452403796701e-13
