num_iters,frac_bits,mean,std,c95l,c95h,al,ah,mse
14,19,6.874865860242241e-06, 1.3468122065264487e-09, 6.155566633731326e-06,7.594165086753155e-06, -9.586706484532304e-05,0.00011199659645766413,1.394075987122773e-09
15,19,7.483610294559006e-06, 3.5160337927164205e-10, 7.116088928947435e-06,7.851131660170577e-06, -4.866445155404797e-05,6.72245433719354e-05,4.0760780231247157e-10
16,19,7.845826307624792e-06, 9.161855546504682e-11, 7.65821984646886e-06,8.033432768780724e-06, -2.318139142487574e-05,4.280408729662177e-05,1.5317554591446413e-10
17,19,8.420284673228506e-06, 3.0767514351036104e-11, 8.31156646724122e-06,8.529002879215793e-06, -1.4132841151592856e-05,3.112474685162958e-05,1.0166870832924298e-10
14,20,4.56148084788931e-06, 1.3758658970632154e-09, 3.834464587400038e-06,5.288497108378582e-06, -9.757844176949693e-05,0.00010682594173039295,1.3966730045888765e-09
15,20,4.163031702198139e-06, 3.3930600274002116e-10, 3.801994593284655e-06,4.524068811111622e-06, -4.706415714794687e-05,5.906855254622645e-05,3.566368356935279e-10
16,20,4.682448171571873e-06, 8.686865013914198e-11, 4.499769599655371e-06,4.865126743488376e-06, -2.4857812829903736e-05,3.270338453642552e-05,1.0879397101859877e-10
17,20,4.7815478860069534e-06, 2.3795138378795292e-11, 4.685938574956209e-06,4.8771571970576975e-06, -1.2119010835309751e-05,2.189072793046254e-05,4.665833856497286e-11
14,21,1.2326898681678577e-06, 1.3349464136200593e-09, 5.165662655291219e-07,1.9488134708065937e-06, -9.897221916788101e-05,0.0001030665182799595,1.3364659379311435e-09
15,21,1.788429868789121e-06, 3.332848953166834e-10, 1.4306104654794944e-06,2.1462492720987474e-06, -4.85151031580644e-05,5.4725167779490214e-05,3.3648337671226046e-10
16,21,1.9754471768486883e-06, 8.44192117748632e-11, 1.7953625178812142e-06,2.1555318358161623e-06, -2.415584519877001e-05,2.90283069233066e-05,8.832160332338265e-11
17,21,2.0440402584040563e-06, 2.1735518096592454e-11, 1.9526623801621813e-06,2.1354181366459313e-06, -1.1647627068511746e-05,1.592436953434806e-05,2.5913618674568965e-11
14,22,5.995026640233991e-07, 1.343836867523491e-09, -1.1900159555188284e-07,1.3180069235986811e-06, -0.0001012134862902192,0.00010153714226479593,1.344196270967662e-09
15,22,1.1449295346648292e-06, 3.3634916705243324e-10, 7.854689721341633e-07,1.5043900971954951e-06, -5.030705309327921e-05,5.151895222843539e-05,3.376600306917811e-10
16,22,8.862335687295331e-07, 8.292959944297432e-11, 7.077448158009157e-07,1.0647223216581504e-06, -2.5348437949768154e-05,2.600611020520116e-05,8.371500938131739e-11
17,22,9.518033503024049e-07, 2.1484560812092892e-11, 8.609545259755397e-07,1.04265217462927e-06, -1.2455962667745624e-05,1.3853555275167295e-05,2.2390490429739775e-11
