num_iters,frac_bits,mean,std,c95l,c95h,al,ah,mse
10,19,2.180997342760893e-05, 4.200907923692387e-07, -0.00010522627289467767,0.00014884621974989553, -0.0012504110902049614,0.0015457303455760352,4.2056646731015176e-07
11,19,-1.887713302270888e-05, 9.112556661367301e-08, -7.804367565476456e-05,4.02894096093468e-05, -0.0007016258229360917,0.0007275258156510533,9.148191276483008e-08
12,19,6.3516341874791936e-06, 2.0276824761732822e-08, -2.1558122172022193e-05,3.426139054698058e-05, -0.00034337337649126276,0.00039005709437067715,2.0317168018584373e-08
13,19,7.2963916619483985e-06, 5.457852387060363e-09, -7.183555067971257e-06,2.1776338391868054e-05, -0.00019570730440665596,0.00020152817413177093,5.5110897183449115e-09
14,19,5.843442444001257e-06, 1.0543500343158704e-09, -5.208258500195467e-07,1.220771073802206e-05, -8.00440353577736e-05,8.172895473990138e-05,1.0884958539122258e-09
15,19,8.536401219930712e-06, 3.414353544422942e-10, 4.9147192106627564e-06,1.2158083229198667e-05, -4.280121532607151e-05,5.646474897746945e-05,4.143055002299288e-10
16,19,9.159006210155418e-06, 6.822360657650549e-11, 7.5400935904495135e-06,1.0777918829861323e-05, -9.333229755381645e-06,2.9302938678199553e-05,1.5211100133417097e-10
17,19,8.016201218414842e-06, 2.5100039559874185e-11, 7.034242400677496e-06,8.998160036152188e-06, -4.1308968176112515e-06,2.1324710386738666e-05,8.935952153398978e-11
18,19,9.485171700001071e-06, 1.511323870576544e-11, 8.72320701701328e-06,1.0247136382988862e-05, -7.887793438410284e-07,2.1812862529890786e-05,1.0508172088426667e-10
19,19,8.6397934329141e-06, 1.2612160417704388e-11, 7.943726802047103e-06,9.335860063781097e-06, -2.1761332072989248e-06,2.291969987877618e-05,8.725819098113e-11
20,19,1.0683122107884025e-05, 1.3787923630902326e-11, 9.955333076498732e-06,1.1410911139269318e-05, -1.6417319281814002e-07,2.4808695253009105e-05,1.2791702160286274e-10
21,19,1.0608262826724557e-05, 1.2388044107061711e-11, 9.918408420043783e-06,1.1298117233405332e-05, 6.684207026763644e-07,1.9259286901940342e-05,1.249232843079278e-10
22,19,1.1015959086154715e-05, 2.1821052833957534e-11, 1.010038409432209e-05,1.193153407798734e-05, -2.574268923916101e-06,2.474399017871054e-05,1.4317240742179212e-10
23,19,1.239416777517155e-05, 1.6114188744631827e-11, 1.1607375124714153e-05,1.3180960425628947e-05, 4.130709421179546e-06,2.5342792197569075e-05,1.697295835837327e-10
24,19,1.2605136913776959e-05, 2.1913387414066364e-11, 1.168762686429588e-05,1.3522646963258039e-05, 1.9820690639882343e-06,2.7807382895539412e-05,1.8080286402912892e-10
10,20,-6.911288539785731e-05, 2.7471757566565885e-07, -0.00017184335987730257,3.361758908158794e-05, -0.001408602357126032,0.001204428297025606,2.794941665936762e-07
11,20,3.8235173337932694e-05, 9.201537427656101e-08, -2.1219537309823114e-05,9.76898839856885e-05, -0.0007436374785155797,0.0006976719932256792,9.347730275674276e-08
12,20,-1.761121390902787e-05, 2.137237088292371e-08, -4.626502691599776e-05,1.1042599097942026e-05, -0.00033330722462232565,0.00034535271425006897,2.1682525738273246e-08
13,20,1.119417112971366e-07, 4.843431037501303e-09, -1.3528631837371924e-05,1.3752515259966199e-05, -0.00018410464966278628,0.0001729466874407226,4.843443568448032e-09
14,20,5.3992936958446865e-06, 1.0379823572151012e-09, -9.153820863926982e-07,1.171396947808207e-05, -7.891974533991153e-05,7.506070967411294e-05,1.0671347296290893e-09
15,20,2.3797573320938346e-06, 3.400370998494627e-10, -1.2345012679259479e-06,5.994015932113617e-06, -4.207960726809734e-05,5.035321686897021e-05,3.4570034480911705e-10
16,20,5.996869058845222e-06, 1.1140288425715487e-10, 3.928136789646798e-06,8.065601328043647e-06, -2.149437811405086e-05,2.8289656048063883e-05,1.4736532276609007e-10
17,20,4.2917700587497e-06, 2.409472688965986e-11, 3.32967701325297e-06,5.2538631042464305e-06, -5.5765816420194625e-06,1.6140946970555348e-05,4.251401712684026e-11
18,20,5.612772160447088e-06, 8.154430740851044e-12, 5.053075268066459e-06,6.172469052827718e-06, -2.3987406496672747e-06,1.2418340269992889e-05,3.965764206594092e-11
19,20,5.490721406504751e-06, 4.802047966654513e-12, 5.061215324257945e-06,5.9202274887515565e-06, -1.551016959755458e-06,1.1655827741652303e-05,3.4950069530504015e-11
20,20,5.876136110795072e-06, 3.346842974435139e-12, 5.5175662853692554e-06,6.2347059362208885e-06, 1.7003594415809786e-06,1.237178727875321e-05,3.787581856702497e-11
21,20,5.562670629388755e-06, 5.620608485887475e-12, 5.097997308017867e-06,6.027343950759644e-06, -1.3655563622094746e-06,1.3263380859274143e-05,3.6563913016951766e-11
22,20,6.371808895425657e-06, 3.754501432988336e-12, 5.992028791879303e-06,6.751588998972012e-06, -3.964793164890068e-07,1.1318449219532845e-05,4.4354450032813865e-11
23,20,6.856841808844383e-06, 4.321759027397658e-12, 6.449380528725021e-06,7.264303088963744e-06, 2.7304440058939505e-06,1.4575430318797267e-05,5.133803861891396e-11
24,20,6.865449958004532e-06, 5.389771669411799e-12, 6.410418675066619e-06,7.3204812409424455e-06, 1.6645923001101792e-06,1.3611582725281401e-05,5.252417479527623e-11
10,21,-6.461098296638768e-05, 3.2725987321854154e-07, -0.0001767359814705727,4.751401553779733e-05, -0.0015479437261510798,0.001597679429315324,3.314344523384243e-07
11,21,-7.948384506490935e-06, 8.793091485280752e-08, -6.606855333784804e-05,5.017178432486617e-05, -0.0007728341222641433,0.0005927501790091716,8.799409166907057e-08
12,21,-9.343832097696847e-07, 2.8532159911399118e-08, -3.404165514746199e-05,3.2172888727922624e-05, -0.0003497795517864999,0.000365047814695596,2.8533032983381824e-08
13,21,4.138472269532567e-06, 5.620755243054823e-09, -1.055598020128764e-05,1.8832924740352772e-05, -0.00016110150275816526,0.00018343569510048674,5.6378821957805114e-09
