num_iters,mean,std,c95l,c95h,al,ah
10,2.1045252490795007e-06, 3.43824581377289e-07, -1.5298062050107744e-06,5.738856703169776e-06, -0.00163490705326097,0.0016368956309953386
11,1.9308767913139068e-07, 8.620096199208743e-08, -1.6266639951055176e-06,2.0128393533682988e-06, -0.0008167932372150633,0.0008193506652599547
12,3.7839149341024056e-07, 2.1707563109013386e-08, -5.347994747863673e-07,1.2915824616068486e-06, -0.00040865512866228304,0.00040998223491928165
13,3.411294319714209e-07, 5.394411756006677e-09, -1.1409767840179986e-07,7.963565423446416e-07, -0.0002047588005856804,0.00020442155404543083
14,-3.3426391121555984e-08, 1.3560115057127564e-09, -2.6166428894630644e-07,1.948115067031945e-07, -0.000102449026346485,0.0001022687786734755
15,4.067179282857269e-08, 3.408177945921963e-10, -7.375222736410282e-08,1.550958130212482e-07, -5.111377371158632e-05,5.105118333648129e-05
16,2.7237227925911435e-08, 8.463373591274363e-11, -2.9782852737166896e-08,8.425730858898976e-08, -2.5660475289068785e-05,2.556310053647426e-05
17,-1.0712753673790543e-08, 2.125161587611779e-11, -3.92855042501166e-08,1.785999690253551e-08, -1.2741073040944961e-05,1.2810452951539375e-05
18,3.6768125339137204e-09, 5.327480599487655e-12, -1.0629147577519477e-08,1.7982772645346918e-08, -6.371405669836072e-06,6.375754645127074e-06
19,5.191761051276389e-09, 1.3288244994534432e-12, -1.9530357947510386e-09,1.2336557897303816e-08, -3.1842836867301827e-06,3.2079224984160604e-06
20,3.3379269606803597e-09, 3.2943877131485545e-13, -2.1956089437009532e-10,6.895414815730814e-09, -1.587988453621847e-06,1.6017758192043985e-06
21,4.100894000047539e-09, 8.290054941056638e-14, 2.316319118974649e-09,5.885468881120428e-09, -7.942349313783126e-07,8.053951168207618e-07
22,4.24869413316542e-09, 2.0712979442700382e-14, 3.356668450647939e-09,5.140719815682901e-09, -3.926503846507501e-07,4.080031469344547e-07
23,4.8227362745545395e-09, 5.161068218416816e-15, 4.37746377744889e-09,5.268008771660189e-09, -1.9484979740802544e-07,2.063365788229632e-07
24,5.151618234885414e-09, 1.2882388984409312e-15, 4.929157034847055e-09,5.374079434923773e-09, -9.91683946072186e-08,1.120014406774672e-07
25,5.30108822098585e-09, 3.2773797517643115e-16, 5.188881349296199e-09,5.413295092675501e-09, -4.875508219370772e-08,6.386880968545228e-08
26,5.61062788870581e-09, 8.42699663279669e-17, 5.5537304807995165e-09,5.667525296612104e-09, -2.7026665017082507e-08,3.805664960943034e-08
27,5.903657999698497e-09, 2.4720359377384576e-17, 5.872841489093927e-09,5.9344745103030675e-09, -1.5922532181633642e-08,2.7322253015604758e-08
28,6.211877434745272e-09, 9.809497335232823e-18, 6.192465025064083e-09,6.231289844426461e-09, -8.655735350693305e-09,2.1986981790789173e-08
